study_hours,sleep_hours,screen_time_hours,workout_done,mood_score,deep_work_sessions,streak_days,goal_difficulty,task_completion_rate,stress_level,breaks_taken,weekend_recovery_score,consistency_label,burnout_label,growth_score
4.1,6.2,4.8,1,5,4,3,5,0.25,9,5,3,0,1,56
0.4,5.7,8.7,1,5,1,18,5,0.73,10,0,1,0,2,33
3.3,8.2,7.1,1,6,2,4,5,0.83,9,5,1,0,1,46
3.3,4.1,7.3,0,5,5,19,3,0.33,5,4,3,0,0,76
2.5,4.2,1.7,0,9,4,15,2,0.57,6,3,2,0,1,74
5.0,6.6,5.2,0,3,1,25,2,0.14,3,3,8,0,0,75
5.7,5.7,6.3,1,6,4,6,2,0.83,2,3,3,0,0,82
4.3,6.1,7.0,1,10,3,14,2,0.12,8,2,10,0,1,61
5.8,4.5,9.0,0,10,0,17,3,0.34,7,0,1,0,1,60
5.5,5.1,6.9,1,3,5,16,3,0.47,7,3,5,0,1,93
3.2,5.2,2.5,1,2,3,17,1,0.98,5,2,8,0,0,83
3.0,5.9,4.4,0,4,0,1,3,0.23,1,0,1,0,0,21
3.5,7.5,2.6,0,8,2,21,2,0.78,5,0,10,1,0,81
1.5,8.7,3.3,1,3,4,14,2,0.22,2,4,9,0,0,54
0.1,7.5,8.9,1,4,3,21,1,0.27,1,1,1,0,0,37
3.6,4.7,6.7,1,2,1,27,1,0.26,10,1,9,0,2,67
4.3,5.1,3.1,0,3,3,25,5,0.74,7,3,8,0,1,98
2.9,4.9,3.4,0,8,5,15,5,0.72,6,0,9,0,1,83
1.5,7.8,1.5,1,6,1,10,5,0.75,3,5,4,1,0,45
3.2,6.5,5.0,1,1,3,25,4,0.73,3,2,5,1,0,85
1.2,8.2,9.7,0,2,5,29,3,0.2,4,2,9,0,0,67
0.0,6.8,6.2,1,7,2,12,5,0.58,6,3,4,0,1,29
5.9,5.7,3.0,1,9,5,26,3,0.29,6,5,4,0,1,100
3.1,5.8,5.0,1,4,4,15,3,0.3,2,0,5,0,0,67
2.5,5.5,4.9,1,7,2,0,4,0.32,2,1,2,0,0,28
4.9,5.3,9.5,0,10,4,15,4,0.42,7,1,1,0,1,75
1.4,6.8,7.7,0,6,3,5,1,0.32,10,1,3,0,1,27
5.0,8.3,7.5,0,9,4,0,4,0.1,9,5,5,0,1,51
3.5,4.9,2.1,1,7,0,14,5,0.73,3,2,8,0,0,59
1.6,6.4,9.7,0,5,3,16,5,0.81,4,5,6,1,0,51
1.3,8.7,5.8,0,4,0,2,1,0.55,9,4,1,0,1,12
4.4,8.9,9.0,1,4,3,16,3,0.96,9,1,6,0,1,78
5.5,6.8,4.3,0,10,5,30,3,0.74,7,2,8,0,1,100
3.9,6.3,3.0,0,9,4,5,5,0.86,8,0,4,0,1,73
1.7,4.4,2.7,0,7,3,29,5,0.29,4,0,7,0,0,75
5.6,4.5,8.5,0,5,1,5,4,0.15,1,5,9,0,0,44
4.8,4.2,7.1,1,6,2,15,5,0.72,5,2,4,0,0,73
5.3,8.3,8.2,0,4,1,29,2,0.28,1,4,10,0,0,81
3.8,4.4,8.4,0,10,3,6,1,0.81,5,5,6,0,0,56
0.2,4.8,5.7,1,1,2,19,4,0.21,10,5,7,0,2,34
2.1,6.3,4.7,1,4,5,7,1,0.68,6,5,4,1,1,61
4.8,5.6,8.3,1,3,3,16,3,0.66,4,4,1,0,0,77
